System ID,UPC,EAN,Custom SKU,Manufact. SKU,Category,Description,Stock,Sold,Subtotal,Discounts,Subtotal w/ Discounts,Total,Cost,Profit,Margin
210000003735,,,041-0385,,Product,Movo 2.0 Blue L,0,1,$850.00,$0.00,$850.00,$960.50,$529.99,$320.01,37.65%
210000003736,,,041-0370,,Product,Movo 1.0 Step Thru Tan M,0,3,"$2,250.00",$0.00,"$2,250.00","$2,542.50","$1,421.97",$828.03,36.80%
210000003737,,,041-0345,,Product,Movo 1.0 Black L,0,1,$750.00,$0.00,$750.00,$847.50,$473.99,$276.01,36.80%
210000003739,,,258000-68,,Product,WHEELS MFTG HANGER #68,0,1,$47.00,$0.00,$47.00,$53.11,$24.99,$22.01,46.83%
210000003741,3611720061508,,450562-01,,Product,Look Delta Cleats,2,1,$12.49,$0.00,$12.49,$14.11,$12.49,$0.00,0%
210000003742,5037835369007,,901708-01,,Product,Muc-Off Tire and Cassette Brush,1,2,$30.00,$0.00,$30.00,$33.90,$14.98,$15.02,50.07%
210000003743,4026495862516,,011778-01-700,,Product,Schwalbe Pro One 700 x 25c,0,2,$130.54,$0.00,$130.54,$147.51,$130.54,$0.00,0%
210000003744,,,253662-01,jagscss,Product,JAG SPT SLK SS SHFT SHIM,0,796,"$3,924.80",$8.00,"$3,916.80","$4,425.96","$1,050.72","$2,866.08",73.17%
210000003746,621920283108,,28-075-70,,Product,Rim Tape 26 x 18mm,0,10,$50.00,$0.00,$50.00,$56.50,$25.20,$24.80,49.60%
210000003747,621920261090,,26-130-09,,Product,12'' ALLOY (SINGLE WALL) (12X1-1/4 BLACK),0,1,$23.00,$0.00,$23.00,$25.99,$14.70,$8.30,36.09%
210000003748,760251076338,,34-056-06,,Product,Disc Brake Pads KS-D296,0,3,$66.00,$0.00,$66.00,$74.58,$42.54,$23.46,35.55%
210000003749,621920540041,,54-020-00,,Product,20 x 1.75-2.125 SV TUBE,2,38,$296.00,$0.00,$296.00,$334.48,$106.02,$189.98,64.18%
210000003750,621920540010,,54-026-01,,Product,26 x 1.50-2.10 SV TUBE,-7,328,"$2,560.70",$1.28,"$2,559.42","$2,892.14",$951.20,"$1,608.22",62.84%
210000003751,621920501998,,50-199-37,,Product,CROSSBAR PARALLEL BAR,0,11,$627.00,$28.50,$598.50,$676.31,$219.45,$379.05,63.33%
210000003753,660902386932,,710170-01,,Product,"Supacaz, Fly Cage Ano, Bottle Cage, Aluminum, Oil Slick, 18g",4,6,$324.00,$27.00,$297.00,$335.62,$161.94,$135.06,45.47%
210000003755,3611720061560,,450564-02,,Product,"Look, Grip, Cleats, Black, 0°",0,3,$109.79,$9.00,$100.79,$113.89,$62.07,$38.72,38.42%
210000003756,3611720061515,,450562-02,,Product,"Look, Delta, Cleats, Red, 9°",4,4,$100.00,$0.00,$100.00,$113.00,$49.96,$50.04,50.04%
210000003757,86699735782,,010903-03-700,,Product,"Michelin, Dynamic Classic, Tire, 700x28C, Wire, Clincher, Single, 30TPI, Tanwall",0,4,$100.00,$0.00,$100.00,$113.00,$46.04,$53.96,53.96%
210000003758,770612289482,,040697-01-27,,Product,"Wheel Shop, Alex C303 Silver/ Formula FM-31-QR, Wheel, Rear, 27'' / 630, Holes: 36, QR, 135mm, Rim, Freewheel",0,3,$180.00,$0.00,$180.00,$203.40,$89.97,$90.03,50.02%
210000003759,883466006034,,171218-01,,Product,TOPEAK EXPLORER 29'ER DISC TUBULAR RACK,0,14,"$1,022.00",$76.65,$945.35,"$1,068.24",$446.46,$498.89,52.77%
210000003760,,,FV21026412,,Product,2021 Devinci Milano Altus 8S Pheonix orange Large.,0,3,"$1,950.00",$0.00,"$1,950.00","$2,203.50","$1,173.00",$777.00,39.85%
210000003761,4019238026849,,CT-2019125,,Product,ULTRA SPORT III 700 X 25 FOLD BLACK,0,6,$228.00,$0.00,$228.00,$257.64,$125.10,$102.90,45.13%
210000003762,7630033834117,,DT-RDXM5565028,,Product,RIM XM 551 DISC 27.5 X 40MM 28 H,0,1,$269.99,$81.00,$188.99,$213.56,$152.88,$36.11,19.11%
210000003763,7613052184616,,DT-HMH350IS36R42,,Product,350 MTB HYBRID 6 BOLT TA 12/142 36H,0,1,$360.00,$0.00,$360.00,$406.80,$219.91,$140.09,38.91%
210000003765,4710944237306,,255419-01,,Product,SUNRACE SLR96 9 SP ROAD BAR-END SHIFTERS,0,1,$36.00,$0.00,$36.00,$40.68,$36.00,$0.00,0%
210000003766,,,255419-02,,Product,SUNRACE SLR96 9 SP ROAD BAR-END SHIFTERS,0,1,$28.00,$0.00,$28.00,$31.64,$28.00,$0.00,0%
210000003767,,,166210-18,,Product,SCHWALBE MARATHON TIRE 18 x 1.65,1,2,$100.00,$0.00,$100.00,$113.00,$50.00,$50.00,50%
210000003768,,,FV21026512,,Product,Milano Altus Orange Phoenix XL,0,1,$650.00,$0.00,$650.00,$734.50,$391.00,$259.00,39.85%
210000003769,,,40-133-34,,Product,"26"" Fork Black 1 1/8"" Threaded",0,1,$75.00,$0.00,$75.00,$84.75,$26.00,$49.00,65.33%
210000003770,,,tubeless setup,,Product,Tubeless Setup,0,45,$990.00,$0.00,$990.00,"$1,118.70",$0.00,$990.00,100%
210000003771,,,skip,,Product,SKIP THE LINE,0,47,"$1,820.00",$0.00,"$1,820.00","$2,056.60",$0.00,"$1,820.00",100%
210000003772,,,FV21026511,,Product,Devinci Milano Altus 21s XL Black,0,5,"$2,600.00",$0.00,"$2,600.00","$2,938.00","$2,025.00",$575.00,22.12%
210000003773,,,FV21026312,,Product,Devinci Milano Altus 21s Orange Phoneix MD,0,3,"$1,950.00",$0.00,"$1,950.00","$2,203.50","$1,212.00",$738.00,37.85%
210000003774,,,FV21026323,,Product,Devinci Milano Acera 24s Navy MD,0,3,"$2,250.00",$0.00,"$2,250.00","$2,542.50","$1,416.00",$834.00,37.07%
210000003775,,,FV21026423,,Product,Devinci Milano Acera 24s Navy LG,0,3,"$2,250.00",$0.00,"$2,250.00","$2,542.50","$1,416.00",$834.00,37.07%
210000003776,,,FV21026324,,Product,Devinci Milano Acera 24s Red MD,0,3,"$2,250.00",$0.00,"$2,250.00","$2,542.50","$1,416.00",$834.00,37.07%
210000003777,,,FV21028212,,Product,Devinci Milano Acera Disc 24s White Mist SM,0,4,"$3,400.00",$0.00,"$3,400.00","$3,842.00","$2,080.00","$1,320.00",38.82%
210000003778,,,FV21028312,,Product,Devinci Milano Acera Disc 24s White Mist MD,0,4,"$3,400.00",$0.00,"$3,400.00","$3,842.00","$2,080.00","$1,320.00",38.82%
210000003779,,,FV21026211,,Product,Devinci Milano Altus 21s Black SM,0,5,"$3,250.00",$0.00,"$3,250.00","$3,672.50","$2,025.00","$1,225.00",37.69%
210000003780,,,FV21026311,,Product,Devinci Milano Altus 21s Black MD,0,9,"$5,850.00",$0.00,"$5,850.00","$6,610.50","$3,645.00","$2,205.00",37.69%
210000003781,768686346477,,BL-7122409,,Product,CORE 3 FLOOR PUMP SIL,3,7,$695.00,$0.00,$695.00,$785.35,$331.40,$363.60,52.32%
210000003782,768686136405,,BL-7086621,,Product,GRID MTB SEAT BAG,4,4,$122.00,$0.00,$122.00,$137.86,$57.60,$64.40,52.79%
